,id,name,artists,duration,explicit,popularity
14,7IpJQhwrB4OYTYwOCiOxIs,"Pain Remains II: After All I've Done, I'll Disappear","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF'}, 'href': 'https://api.spotify.com/v1/artists/6vXYoy8ouRVib302zxaxFF', 'id': '6vXYoy8ouRVib302zxaxFF', 'name': 'Lorna Shore', 'type': 'artist', 'uri': 'spotify:artist:6vXYoy8ouRVib302zxaxFF'}]",336813,True,56
15,6wgKN7mUq1CvQBnQKzjeKt,Pain Remains III: In a Sea of Fire,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF'}, 'href': 'https://api.spotify.com/v1/artists/6vXYoy8ouRVib302zxaxFF', 'id': '6vXYoy8ouRVib302zxaxFF', 'name': 'Lorna Shore', 'type': 'artist', 'uri': 'spotify:artist:6vXYoy8ouRVib302zxaxFF'}]",552613,True,54
16,7dx3mDmMQNF4HvDihTfncq,Into the Earth,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF'}, 'href': 'https://api.spotify.com/v1/artists/6vXYoy8ouRVib302zxaxFF', 'id': '6vXYoy8ouRVib302zxaxFF', 'name': 'Lorna Shore', 'type': 'artist', 'uri': 'spotify:artist:6vXYoy8ouRVib302zxaxFF'}]",312000,True,53
17,1nqXQo7YXVQsUBflLauyzI,Cursed to Die,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF'}, 'href': 'https://api.spotify.com/v1/artists/6vXYoy8ouRVib302zxaxFF', 'id': '6vXYoy8ouRVib302zxaxFF', 'name': 'Lorna Shore', 'type': 'artist', 'uri': 'spotify:artist:6vXYoy8ouRVib302zxaxFF'}]",280000,False,52
18,7fQFx37hCurb938qvnBa8W,"Welcome Back, O' Sleeping Dreamer","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF'}, 'href': 'https://api.spotify.com/v1/artists/6vXYoy8ouRVib302zxaxFF', 'id': '6vXYoy8ouRVib302zxaxFF', 'name': 'Lorna Shore', 'type': 'artist', 'uri': 'spotify:artist:6vXYoy8ouRVib302zxaxFF'}]",441226,False,53
19,6UTNQ8YN8da3ExqI5AOJPE,...And I Return to Nothingness,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF'}, 'href': 'https://api.spotify.com/v1/artists/6vXYoy8ouRVib302zxaxFF', 'id': '6vXYoy8ouRVib302zxaxFF', 'name': 'Lorna Shore', 'type': 'artist', 'uri': 'spotify:artist:6vXYoy8ouRVib302zxaxFF'}]",370153,False,52
20,7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY'}, 'href': 'https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY', 'id': '7CajNmpbOovFoOoasH2HaY', 'name': 'Calvin Harris', 'type': 'artist', 'uri': 'spotify:artist:7CajNmpbOovFoOoasH2HaY'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",227266,False,84
21,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY'}, 'href': 'https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY', 'id': '7CajNmpbOovFoOoasH2HaY', 'name': 'Calvin Harris', 'type': 'artist', 'uri': 'spotify:artist:7CajNmpbOovFoOoasH2HaY'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",186496,False,81
22,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",252534,False,76
23,5lF0pHbsJ0QqyIrLweHJPW,Burn,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",231213,False,76
24,4Wui4miiL1JR3QqWcbcKwD,Love Me Like You Do,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",253520,False,69
25,15og0pCEcTFWEXOFKdcJlU,Hate Me,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",188066,False,73
26,3X003bO0MMxXEsJJxidiig,How Long Will I Love You,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",154440,False,72
27,05SBRd4fXgn8FX7bf8BCAE,I Need Your Love (feat. Ellie Goulding),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY'}, 'href': 'https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY', 'id': '7CajNmpbOovFoOoasH2HaY', 'name': 'Calvin Harris', 'type': 'artist', 'uri': 'spotify:artist:7CajNmpbOovFoOoasH2HaY'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",234506,False,73
28,5Hp4xFihdOE2dmDzxWcBFb,All By Myself,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W'}, 'href': 'https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W', 'id': '0NGAZxHanS9e0iNHpR8f2W', 'name': 'Alok', 'type': 'artist', 'uri': 'spotify:artist:0NGAZxHanS9e0iNHpR8f2W'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1IueXOQyABrMOprrzwQJWN'}, 'href': 'https://api.spotify.com/v1/artists/1IueXOQyABrMOprrzwQJWN', 'id': '1IueXOQyABrMOprrzwQJWN', 'name': 'Sigala', 'type': 'artist', 'uri': 'spotify:artist:1IueXOQyABrMOprrzwQJWN'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",171747,False,73
29,0LRCcpSgeozipxPpRg5wzx,Lights,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}]",245853,False,61
30,4pY1okPrJvIPBQM0t4i28v,Bruno is Orange,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",202246,False,70
31,6bwPnSdXQWX5Bxq9X1wWTJ,Sirens,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",224006,False,35
32,2CEUS9gy5wdeptEwQbCB17,The Goose & the Wren,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hDLm8O99kRfpY3DjFHQAP'}, 'href': 'https://api.spotify.com/v1/artists/7hDLm8O99kRfpY3DjFHQAP', 'id': '7hDLm8O99kRfpY3DjFHQAP', 'name': 'Hop Along, Queen Ansleis', 'type': 'artist', 'uri': 'spotify:artist:7hDLm8O99kRfpY3DjFHQAP'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5yO8MmDV2hnMbiIoZGZMGr'}, 'href': 'https://api.spotify.com/v1/artists/5yO8MmDV2hnMbiIoZGZMGr', 'id': '5yO8MmDV2hnMbiIoZGZMGr', 'name': 'Frances Quinlan', 'type': 'artist', 'uri': 'spotify:artist:5yO8MmDV2hnMbiIoZGZMGr'}]",453806,False,33
