,name,artist_name,track_name,track_id,source
10,Modest Mouse,Modest Mouse,Perfect Disguise (BBC Radio 1 Session Version),2113579,"{'track_id': 2113579, 'track_name': 'Perfect Disguise (BBC Radio 1 Session Version)', 'track_name_translation_list': [], 'track_rating': 39, 'commontrack_id': 13121, 'instrumental': 0, 'explicit': 1, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 41, 'album_id': 10391699, 'album_name': 'The Moon & Antarctica (Bonus Track Version)', 'artist_id': 47, 'artist_name': 'Modest Mouse', 'track_share_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Perfect-Disguise-BBC-Radio-1-Session-version?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Perfect-Disguise-BBC-Radio-1-Session-version/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2024-01-24T15:39:07Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 1001, 'music_genre_parent_id': 20, 'music_genre_name': 'College Rock', 'music_genre_name_extended': 'Alternative / College Rock', 'music_genre_vanity': 'Alternative-College-Rock'}}, {'music_genre': {'music_genre_id': 20, 'music_genre_parent_id': 34, 'music_genre_name': 'Alternative', 'music_genre_name_extended': 'Alternative', 'music_genre_vanity': 'Alternative'}}]}}"
11,Modest Mouse,Modest Mouse,That'll Be the Day,32226546,"{'track_id': 32226546, 'track_name': ""That'll Be the Day"", 'track_name_translation_list': [], 'track_rating': 39, 'commontrack_id': 12191613, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 15346018, 'album_name': 'Rave On Buddy Holly', 'artist_id': 47, 'artist_name': 'Modest Mouse', 'track_share_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/That-ll-Be-the-Day?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/That-ll-Be-the-Day/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2024-02-06T15:29:29Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 14, 'music_genre_parent_id': 34, 'music_genre_name': 'Pop', 'music_genre_name_extended': 'Pop', 'music_genre_vanity': 'Pop'}}]}}"
12,Modest Mouse,Modest Mouse,Every Penny Fed Car,84747864,"{'track_id': 84747864, 'track_name': 'Every Penny Fed Car', 'track_name_translation_list': [], 'track_rating': 39, 'commontrack_id': 13040, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 20926071, 'album_name': 'Sad Sappy Sucker', 'artist_id': 47, 'artist_name': 'Modest Mouse', 'track_share_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Every-Penny-Fed-Car?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Every-Penny-Fed-Car/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2011-06-10T14:50:32Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 20, 'music_genre_parent_id': 34, 'music_genre_name': 'Alternative', 'music_genre_name_extended': 'Alternative', 'music_genre_vanity': 'Alternative'}}]}}"
13,Pavement,Pavement,The Hexx (live 1999),15089146,"{'track_id': 15089146, 'track_name': 'The Hexx (live 1999)', 'track_name_translation_list': [], 'track_rating': 19, 'commontrack_id': 8984990, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 12459948, 'album_name': 'Matador at 21', 'artist_id': 18, 'artist_name': 'Pavement', 'track_share_url': 'https://www.musixmatch.com/lyrics/Pavement/The-Hexx-Live-1999?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Pavement/The-Hexx-Live-1999/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2016-12-29T11:37:01Z', 'primary_genres': {'music_genre_list': []}}"
14,Thievery Corporation,Thievery Corporation,Marching the Hate Machines (Into the Sun),17819242,"{'track_id': 17819242, 'track_name': 'Marching the Hate Machines (Into the Sun)', 'track_name_translation_list': [], 'track_rating': 38, 'commontrack_id': 8803535, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 10565975, 'album_name': 'Café Buddha: The Cream of Lounge Cuisine', 'artist_id': 1199, 'artist_name': 'Thievery Corporation', 'track_share_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/Marching-The-Hate-Machines-Into-The-Sun?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/Marching-The-Hate-Machines-Into-The-Sun/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2011-12-18T15:36:10Z', 'primary_genres': {'music_genre_list': []}}"
15,Thievery Corporation,Thievery Corporation,The Heart is a Lonely Hunter - Louie Vega Remix,94825081,"{'track_id': 94825081, 'track_name': 'The Heart is a Lonely Hunter - Louie Vega Remix', 'track_name_translation_list': [], 'track_rating': 1, 'commontrack_id': 366753, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 21599638, 'album_name': 'AOL Music DJ Sessions Mixed by Thievery Corporation', 'artist_id': 1199, 'artist_name': 'Thievery Corporation', 'track_share_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/The-Heart-Is-a-Lonely-Hunter-Louie-Vega-remix?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/The-Heart-Is-a-Lonely-Hunter-Louie-Vega-remix/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2012-02-16T17:40:25Z', 'primary_genres': {'music_genre_list': []}}"
16,Thievery Corporation,Thievery Corporation,The Heart's a Lonely Hunter (Louie Vega remix),4391000,"{'track_id': 4391000, 'track_name': ""The Heart's a Lonely Hunter (Louie Vega remix)"", 'track_name_translation_list': [], 'track_rating': 18, 'commontrack_id': 366762, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 10582287, 'album_name': ""The Heart's A Lonely Hunter"", 'artist_id': 1199, 'artist_name': 'Thievery Corporation', 'track_share_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/The-Heart-s-a-Lonely-Hunter-Louie-Vega-remix?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/The-Heart-s-a-Lonely-Hunter-Louie-Vega-remix/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2021-12-10T00:10:01Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 7, 'music_genre_parent_id': 34, 'music_genre_name': 'Electronic', 'music_genre_name_extended': 'Electronic', 'music_genre_vanity': 'Electronic'}}]}}"
17,Thievery Corporation,Thievery Corporation,State Of The Union,7578591,"{'track_id': 7578591, 'track_name': 'State Of The Union', 'track_name_translation_list': [], 'track_rating': 17, 'commontrack_id': 366735, 'instrumental': 0, 'explicit': 1, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 1, 'album_id': 10873593, 'album_name': 'Roma Alta Moda', 'artist_id': 1199, 'artist_name': 'Thievery Corporation', 'track_share_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/State-Of-The-Union?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/State-Of-The-Union/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2013-03-18T22:25:10Z', 'primary_genres': {'music_genre_list': []}}"
18,Thievery Corporation,Thievery Corporation,Until The Morning (Rewound),7953467,"{'track_id': 7953467, 'track_name': 'Until The Morning (Rewound)', 'track_name_translation_list': [], 'track_rating': 18, 'commontrack_id': 14887864, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 1, 'album_id': 10907716, 'album_name': 'Destination Lounge: Buddha CD', 'artist_id': 1199, 'artist_name': 'Thievery Corporation', 'track_share_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/Until-The-Morning-Rewound?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Thievery-Corporation/Until-The-Morning-Rewound/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2014-11-11T16:57:36Z', 'primary_genres': {'music_genre_list': []}}"
19,Mix Master Mike,Mix Master Mike,Anti-Theft Device,116534616,"{'track_id': 116534616, 'track_name': 'Anti-Theft Device', 'track_name_translation_list': [], 'track_rating': 4, 'commontrack_id': 927956, 'instrumental': 1, 'explicit': 0, 'has_lyrics': 0, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 24132833, 'album_name': 'Anti-Theft Device', 'artist_id': 7352, 'artist_name': 'Mix Master Mike', 'track_share_url': 'https://www.musixmatch.com/lyrics/Mix-Master-Mike/Anti-Theft-Device?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Mix-Master-Mike/Anti-Theft-Device/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2014-07-04T12:35:32Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 1073, 'music_genre_parent_id': 18, 'music_genre_name': 'Hip-Hop', 'music_genre_name_extended': 'Hip Hop/Rap / Hip-Hop', 'music_genre_vanity': 'Hip-Hop-Rap-Hip-Hop'}}, {'music_genre': {'music_genre_id': 7, 'music_genre_parent_id': 34, 'music_genre_name': 'Electronic', 'music_genre_name_extended': 'Electronic', 'music_genre_vanity': 'Electronic'}}]}}"
